Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Severity,Crash_Time,Crash_Year,Day_of_Week,Hour_of_Day,Intersecting_Street_Name,Latitude,Longitude,Speed_Limit,Street_Name,Person_Death_Count,Person_Injury_Severity,Person_Type,KABCO_USD_Value
19086778,True,2022-08-26,B - SUSPECTED MINOR INJURY,753,2022,FRIDAY,7 AM,,,,25,E HUNTER DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19093623,True,2022-08-26,A - SUSPECTED SERIOUS INJURY,2324,2022,FRIDAY,11 PM,THORN AVE,31.85074484,-106.5808703,30,MACE ST,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
19114021,True,2022-09-12,N - NOT INJURED,727,2022,MONDAY,7 AM,WEXFORD DR,31.78890484,-106.33899036,35,EDGEMERE BLVD,0,N - NOT INJURED,Pedestrian,0
19119237,True,2022-09-17,B - SUSPECTED MINOR INJURY,652,2022,SATURDAY,6 AM,RADFORD ST,31.78871484,-106.43743034,30,TROWBRIDGE DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19122648,True,2022-09-20,B - SUSPECTED MINOR INJURY,614,2022,TUESDAY,6 AM,HONOUR POINT PL,31.76923484,-106.22883038,35,MONTWOOD,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19157027,True,2022-09-23,B - SUSPECTED MINOR INJURY,1722,2022,FRIDAY,5 PM,PELLICANO DR,31.74434484,-106.30182037,40,GEORGE DIETER DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19145686,True,2022-09-28,B - SUSPECTED MINOR INJURY,2124,2022,WEDNESDAY,9 PM,TELESCOPE CT,31.86220483,-106.44571033,30,LEO ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19173000,True,2022-10-12,N - NOT INJURED,1914,2022,WEDNESDAY,7 PM,E MILLS AVE,31.76119485,-106.48522033,35,N CAMPBELL ST,0,N - NOT INJURED,Pedestrian,0
19183805,True,2022-10-22,B - SUSPECTED MINOR INJURY,806,2022,SATURDAY,8 AM,MANNY MARTINEZ,31.76034484,-106.40182034,30,DELTA DR,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19187244,True,2022-10-23,C - POSSIBLE INJURY,1337,2022,SUNDAY,1 PM,JAMAICA ST,31.89896482,-106.43145033,40,WOODROW BEAN TRANSMOUNTAIN DR,0,C - POSSIBLE INJURY,Cyclist,151600
19203825,True,2022-11-01,B - SUSPECTED MINOR INJURY,756,2022,TUESDAY,7 AM,HOWZE ST,31.78850484,-106.43155034,35,TROWBRIDGE DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19203826,True,2022-11-01,B - SUSPECTED MINOR INJURY,844,2022,TUESDAY,8 AM,N COTTON ST,31.76443485,-106.47357033,30,MAGOFFIN AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19224159,True,2022-11-01,B - SUSPECTED MINOR INJURY,1646,2022,TUESDAY,4 PM,BORDEAUX DR,31.69418485,-106.29625037,15,BETEL DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19214931,True,2022-11-04,C - POSSIBLE INJURY,1646,2022,FRIDAY,4 PM,E YANDELL DR,31.78073484,-106.43286034,30,RAYNOLDS ST,0,C - POSSIBLE INJURY,Pedestrian,151600
19223548,True,2022-11-08,A - SUSPECTED SERIOUS INJURY,1838,2022,TUESDAY,6 PM,MAGOFFIN AVE,31.77188485,-106.46153033,30,S PIEDRAS ST,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
19248264,True,2022-11-11,C - POSSIBLE INJURY,2100,2022,FRIDAY,9 PM,E 3RD AVE,31.75472485,-106.48581033,40,S MESA ST,0,C - POSSIBLE INJURY,Cyclist,151600
19281334,True,2022-11-15,N - NOT INJURED,1150,2022,TUESDAY,11 AM,E OVERLAND AVE,31.75784485,-106.48458033,35,S KANSAS ST,0,N - NOT INJURED,Pedestrian,0
19248329,True,2022-11-17,B - SUSPECTED MINOR INJURY,1754,2022,THURSDAY,5 PM,TIERRA ESTE DR,31.79229483,-106.25968037,35,EDGEMERE BLVD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19278605,True,2022-11-28,B - SUSPECTED MINOR INJURY,1651,2022,MONDAY,4 PM,MORENCI RD,31.78978484,-106.45301033,30,N COPIA ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19273954,True,2022-12-02,B - SUSPECTED MINOR INJURY,145,2022,FRIDAY,1 AM,,,,40,GEORGE DIETER,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19283994,True,2022-12-09,N - NOT INJURED,1117,2022,FRIDAY,11 AM,EDGEMERE BLVD,31.79050484,-106.30232036,40,GEORGE DIETER DR,0,N - NOT INJURED,Cyclist,0
19285964,True,2022-12-15,C - POSSIBLE INJURY,1604,2022,THURSDAY,4 PM,SIOUX DR,31.78399484,-106.40145034,30,EDGEMERE BLVD,0,C - POSSIBLE INJURY,Pedestrian,151600
19286367,True,2022-12-15,B - SUSPECTED MINOR INJURY,835,2022,THURSDAY,8 AM,WREN AVE,31.87738483,-106.41267034,30,ROANOKE DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19322341,True,2023-01-06,B - SUSPECTED MINOR INJURY,900,2023,FRIDAY,9 AM,SOUTHWESTERN DR,31.86364484,-106.5741203,45,E REDD RD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19333247,True,2023-01-11,B - SUSPECTED MINOR INJURY,1858,2023,WEDNESDAY,6 PM,PELLICANO DR,31.74761484,-106.31898036,45,N LEE TREVINO DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19334999,True,2023-01-12,N - NOT INJURED,1900,2023,THURSDAY,7 PM,E SAN ANTONIO AVE,31.75875485,-106.48481033,35,S KANSAS ST,0,N - NOT INJURED,Cyclist,0
19346142,True,2023-01-18,C - POSSIBLE INJURY,1708,2023,WEDNESDAY,5 PM,TIERRA TAOS DR,31.87155483,-106.5582803,45,N RESLER DR,0,C - POSSIBLE INJURY,Pedestrian,151600
19348537,True,2023-01-20,N - NOT INJURED,1110,2023,FRIDAY,11 AM,S OREGON ST,31.75363485,-106.48656033,30,E 4TH AVE,0,N - NOT INJURED,Pedestrian,0
19370971,True,2023-02-03,C - POSSIBLE INJURY,1809,2023,FRIDAY,6 PM,TEXAS AVE,31.75997485,-106.48542033,30,N KANSAS ST,0,C - POSSIBLE INJURY,Pedestrian,151600
19433627,True,2023-02-03,B - SUSPECTED MINOR INJURY,1641,2023,FRIDAY,4 PM,LOMA DEL SOL DR,31.94062482,-106.44245033,40,LOMA CLARA CT,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19382347,True,2023-02-09,B - SUSPECTED MINOR INJURY,1548,2023,THURSDAY,3 PM,E SCHUSTER AVE,31.77867485,-106.48722032,35,BROWN ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19389757,True,2023-02-14,B - SUSPECTED MINOR INJURY,1318,2023,TUESDAY,1 PM,ARIZONA AVE,31.76483485,-106.49375032,30,N OREGON ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19444184,True,2023-03-18,B - SUSPECTED MINOR INJURY,253,2023,SATURDAY,2 AM,W ROBINSON AVE,31.77567485,-106.50335032,30,W ROBINSON AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19456082,True,2023-03-23,C - POSSIBLE INJURY,800,2023,THURSDAY,8 AM,MYRTLE AVE,31.76247485,-106.47977033,35,ANGE ST,0,C - POSSIBLE INJURY,Pedestrian,151600
19476535,True,2023-04-04,B - SUSPECTED MINOR INJURY,1830,2023,TUESDAY,6 PM,VISTA DEL SOL DR,31.75434272,-106.33801156,35,VISTA DEL SOL DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19503334,True,2023-04-18,C - POSSIBLE INJURY,1605,2023,TUESDAY,4 PM,LOS ANGELES DR,31.75990485,-106.49773032,30,MUNDY DR,0,C - POSSIBLE INJURY,Cyclist,151600
19502014,True,2023-04-20,B - SUSPECTED MINOR INJURY,1039,2023,THURSDAY,10 AM,N PIEDRAS ST,31.78173484,-106.46144033,35,E YANDELL DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19511993,True,2023-04-26,C - POSSIBLE INJURY,805,2023,WEDNESDAY,8 AM,MATAGORDA ST,31.78377484,-106.31011036,35,PEBBLE HILLS BLVD,0,C - POSSIBLE INJURY,Pedestrian,151600
19529840,True,2023-04-29,B - SUSPECTED MINOR INJURY,1800,2023,SATURDAY,6 PM,NOLAN RICHARDSON DR,31.79229483,-106.27636037,40,EDGEMERE BLVD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19529851,True,2023-05-01,B - SUSPECTED MINOR INJURY,1917,2023,MONDAY,7 PM,RED SAILS DR,31.79045484,-106.31286036,35,EDGEMERE BLVD,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19531396,True,2023-05-06,A - SUSPECTED SERIOUS INJURY,958,2023,SATURDAY,9 AM,N RESLER DR,31.85525484,-106.55748031,30,HEMPSTEAD DR,0,A - SUSPECTED SERIOUS INJURY,Cyclist,1432400
19568422,True,2023-05-19,C - POSSIBLE INJURY,723,2023,FRIDAY,7 AM,LOMALAND DR,31.73507485,-106.33373036,30,YERMOLAND DR,0,C - POSSIBLE INJURY,Pedestrian,151600
19578292,True,2023-05-31,B - SUSPECTED MINOR INJURY,2244,2023,WEDNESDAY,10 PM,,31.88069483,-106.61660029,30,ALINA BALTAZAR DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19584656,True,2023-06-02,B - SUSPECTED MINOR INJURY,414,2023,FRIDAY,4 AM,DELTA DR,31.75856485,-106.47366033,35,S COTTON ST,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19605468,True,2023-06-15,A - SUSPECTED SERIOUS INJURY,932,2023,THURSDAY,9 AM,TEXAS AVE,31.75936485,-106.48634033,30,STANTON ST,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
19633299,True,2023-06-20,B - SUSPECTED MINOR INJURY,1500,2023,TUESDAY,3 PM,CLOUDVIEW DR,31.83699484,-106.55021031,35,N RESLER DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19617248,True,2023-06-24,B - SUSPECTED MINOR INJURY,953,2023,SATURDAY,9 AM,TIERRA ESTE RD,31.77988484,-106.25816038,35,PEBBLE HILLS BLVD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19635376,True,2023-06-28,C - POSSIBLE INJURY,1636,2023,WEDNESDAY,4 PM,E OVERLAND AVE,31.75809485,-106.48357033,30,S CAMPBELL ST,0,C - POSSIBLE INJURY,Cyclist,151600
19635382,True,2023-06-29,B - SUSPECTED MINOR INJURY,1635,2023,THURSDAY,4 PM,N COTTON ST,31.77781485,-106.47350033,35,ARIZONA AVE,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19634251,True,2023-06-30,B - SUSPECTED MINOR INJURY,1215,2023,FRIDAY,12 PM,MONTANA AVE,31.80292483,-106.29389037,35,LEE BLVD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19650894,True,2023-07-13,B - SUSPECTED MINOR INJURY,2136,2023,THURSDAY,9 PM,DELTA DR,31.75730485,-106.47896033,30,S SAINT VRAIN ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19705127,True,2023-08-14,B - SUSPECTED MINOR INJURY,948,2023,MONDAY,9 AM,TOM WEISKOPF DR,31.77223484,-106.31988036,40,N LEE TREVINO DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19734451,True,2023-08-25,C - POSSIBLE INJURY,727,2023,FRIDAY,7 AM,RISNER ST,31.79046484,-106.31026036,35,EDGEMERE BLVD,0,C - POSSIBLE INJURY,Cyclist,151600
19133018,True,2022-09-22,C - POSSIBLE INJURY,839,2022,THURSDAY,8 AM,CHARLES FOSTER AVE,31.77652483,-106.21673038,45,JOHN HAYES ST,0,C - POSSIBLE INJURY,Cyclist,151600
19133765,True,2022-09-23,A - SUSPECTED SERIOUS INJURY,948,2022,FRIDAY,9 AM,OLIVE AVE,31.75988485,-106.48012033,30,E SAN ANTONIO AVE,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
19265793,True,2022-12-02,B - SUSPECTED MINOR INJURY,1927,2022,FRIDAY,7 PM,LEE BLVD,31.78244484,-106.29362037,35,PEBBLE HILLS BLVD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19363814,True,2023-01-25,B - SUSPECTED MINOR INJURY,1634,2023,WEDNESDAY,4 PM,BROOKROCK ST,31.79208484,-106.33033036,35,EDGEMERE BLVD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19364450,True,2023-01-28,B - SUSPECTED MINOR INJURY,1522,2023,SATURDAY,3 PM,PELL WAY,31.70340152,-106.3200917,45,N ZARAGOZA RD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19397640,True,2023-02-18,B - SUSPECTED MINOR INJURY,1343,2023,SATURDAY,1 PM,SUN VALLEY DR,31.91054482,-106.42342033,35,RUSHING RD,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19428528,True,2023-03-08,B - SUSPECTED MINOR INJURY,1420,2023,WEDNESDAY,2 PM,PELLICANO DR,31.74434484,-106.30182037,40,GEORGE DIETER DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19463525,True,2023-03-28,K - FATAL INJURY,1322,2023,TUESDAY,1 PM,AMY SUE DR,31.76888484,-106.31773036,35,MONTWOOD DR,1,K - FATAL INJURY,Pedestrian,13749500
19589143,True,2023-06-06,N - NOT INJURED,924,2023,TUESDAY,9 AM,GEORGE DIETER DR,31.74259484,-106.30181037,30,PENDALE RD,0,N - NOT INJURED,Pedestrian,0
19593607,True,2023-06-06,B - SUSPECTED MINOR INJURY,1223,2023,TUESDAY,12 PM,E CLIFF DR,31.77043485,-106.49206032,30,N FLORENCE ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19625167,True,2023-06-26,C - POSSIBLE INJURY,824,2023,MONDAY,8 AM,RICH BEEM BLVD,31.81474483,-106.24784038,30,OSMUNDO NUNEZ CT,0,C - POSSIBLE INJURY,Pedestrian,151600
19624812,True,2023-06-28,B - SUSPECTED MINOR INJURY,745,2023,WEDNESDAY,7 AM,VISTA DEL SOL DR,31.75719484,-106.34790036,30,SUMAC DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19723155,True,2023-08-25,B - SUSPECTED MINOR INJURY,1335,2023,FRIDAY,1 PM,ALTURA AVE,31.79682484,-106.46592033,45,ALABAMA ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19736691,True,2023-08-30,B - SUSPECTED MINOR INJURY,807,2023,WEDNESDAY,8 AM,E UNIVERSITY AVE,31.77497485,-106.49743032,30,N CAMPBELL ST,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19732811,True,2023-08-31,B - SUSPECTED MINOR INJURY,725,2023,THURSDAY,7 AM,SPANISH POINT DR,31.79385483,-106.21694038,30,JOHN HAYES ST,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19745465,True,2023-09-04,B - SUSPECTED MINOR INJURY,1853,2023,MONDAY,6 PM,ORIZABA AVE,31.84502485,-106.55813031,30,BELVIDERE ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19764874,True,2023-09-12,B - SUSPECTED MINOR INJURY,510,2023,TUESDAY,5 AM,N OREGON ST,31.76111485,-106.49052033,30,E MISSOURI AVE,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19772117,True,2023-09-15,A - SUSPECTED SERIOUS INJURY,1400,2023,FRIDAY,2 PM,FIREHOUSE DR,31.75857484,-106.27729037,35,SAUL KLEINFELD DR,0,A - SUSPECTED SERIOUS INJURY,Cyclist,1432400
19784698,True,2023-09-26,B - SUSPECTED MINOR INJURY,748,2023,TUESDAY,7 AM,VIA DESCANSO DR,31.86172483,-106.52402031,30,OJO DE AGUA DR,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19819095,True,2023-10-12,B - SUSPECTED MINOR INJURY,1726,2023,THURSDAY,5 PM,ANDREW WISEMAN ST,31.81997483,-106.24190038,35,EASTBROOK DR,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
19832656,True,2023-10-14,B - SUSPECTED MINOR INJURY,1300,2023,SATURDAY,1 PM,S SEVILLE DR,31.76025485,-106.40668034,35,DELTA DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19852733,True,2023-10-23,C - POSSIBLE INJURY,1939,2023,MONDAY,7 PM,LEE BLVD,31.78244477,-106.29362544,35,PEBBLE HILLS BLVD,0,C - POSSIBLE INJURY,Pedestrian,151600
19833436,True,2023-10-26,B - SUSPECTED MINOR INJURY,1245,2023,THURSDAY,12 PM,CLOUDVIEW DR,31.83699484,-106.55021031,30,N RESLER DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19841569,True,2023-10-26,A - SUSPECTED SERIOUS INJURY,900,2023,THURSDAY,9 AM,TIERRA NEVADA DR,31.79280483,-106.25553038,40,EDGEMERE BLVD,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
19882044,True,2023-11-04,B - SUSPECTED MINOR INJURY,1400,2023,SATURDAY,2 PM,N GATEWAY BLVD,31.82288484,-106.43711033,55,RAILROAD DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19867940,True,2023-11-06,N - NOT INJURED,759,2023,MONDAY,7 AM,SCOTT SIMPSON DR,31.74612484,-106.30184037,40,GEORGE DIETER DR,0,N - NOT INJURED,Cyclist,0
19870653,True,2023-11-15,C - POSSIBLE INJURY,1801,2023,WEDNESDAY,6 PM,OVEJA AVE,31.84867484,-106.54976031,30,QUERETARO DR,0,C - POSSIBLE INJURY,Pedestrian,151600
19875699,True,2023-11-17,K - FATAL INJURY,425,2023,FRIDAY,4 AM,,31.77705485,-106.47110033,35,MONTANA AVE,1,K - FATAL INJURY,Pedestrian,13749500
19884458,True,2023-11-18,B - SUSPECTED MINOR INJURY,1215,2023,SATURDAY,12 PM,E YANDELL DR,31.77446485,-106.47346033,35,N COTTON ST,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19882053,True,2023-11-21,B - SUSPECTED MINOR INJURY,1635,2023,TUESDAY,4 PM,RUSHING RD,31.91349482,-106.42229033,30,DONALD DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19895251,True,2023-11-28,C - POSSIBLE INJURY,1536,2023,TUESDAY,3 PM,WYOMING AVE,31.76627485,-106.48439033,30,N SAINT VRAIN ST,0,C - POSSIBLE INJURY,Pedestrian,151600
19895251,True,2023-11-28,C - POSSIBLE INJURY,1536,2023,TUESDAY,3 PM,WYOMING AVE,31.76627485,-106.48439033,30,N SAINT VRAIN ST,0,C - POSSIBLE INJURY,Pedestrian,151600
19895251,True,2023-11-28,C - POSSIBLE INJURY,1536,2023,TUESDAY,3 PM,WYOMING AVE,31.76627485,-106.48439033,30,N SAINT VRAIN ST,0,C - POSSIBLE INJURY,Pedestrian,151600
19902067,True,2023-11-30,N - NOT INJURED,1245,2023,THURSDAY,12 PM,FIREHOUSE DR,31.76154484,-106.27380037,35,MONTWOOD DR,0,N - NOT INJURED,Pedestrian,0
19898767,True,2023-12-01,A - SUSPECTED SERIOUS INJURY,803,2023,FRIDAY,8 AM,E FRANKLIN AVE,31.76207485,-106.48739033,35,N KANSAS ST,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
19899799,True,2023-12-01,B - SUSPECTED MINOR INJURY,1515,2023,FRIDAY,3 PM,ESTHER LAMA DR,31.72371485,-106.30280037,40,GEORGE DIETER,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19927263,True,2023-12-02,A - SUSPECTED SERIOUS INJURY,733,2023,SATURDAY,7 AM,MARCUS URIBE DR,31.93641482,-106.42480033,35,SEAN HAGGERTY DR,0,A - SUSPECTED SERIOUS INJURY,Pedestrian,1432400
19937911,True,2023-12-11,B - SUSPECTED MINOR INJURY,1810,2023,MONDAY,6 PM,WESTWIND DR,31.84337484,-106.53565031,40,ESCONDIDO DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
19929177,True,2023-12-17,C - POSSIBLE INJURY,1633,2023,SUNDAY,4 PM,SHOPPERS RD,31.87776483,-106.41978033,30,WREN AVE,0,C - POSSIBLE INJURY,Pedestrian,151600
